Tiempo(s)	Voltaje(V)
2.220000000000000029e-01	2.713919237139634788e-01
2.230000000000000038e-01	1.919310089142527431e-01
2.240000000000000047e-01	1.060360119445249438e-01
2.250000000000000056e-01	2.453338909253943712e-01
2.260000000000000064e-01	3.206126523145940155e-01
2.270000000000000073e-01	2.704268113884609193e-01
2.280000000000000082e-01	1.925744171312544495e-01
2.290000000000000091e-01	1.082879407040309161e-01
2.300000000000000100e-01	2.479075237934011966e-01
2.310000000000000109e-01	3.231862851826008409e-01
2.320000000000000118e-01	2.736438524734694511e-01
2.330000000000000127e-01	1.948263458907604218e-01
2.340000000000000135e-01	1.095747571380343288e-01
2.349999999999999867e-01	2.485509320104029030e-01
2.359999999999999876e-01	3.228645810740999877e-01
2.369999999999999885e-01	2.726787401479668915e-01
2.379999999999999893e-01	1.932178253482561558e-01
2.389999999999999902e-01	1.066794201615266502e-01
2.399999999999999911e-01	2.450121868168935180e-01
2.409999999999999920e-01	3.196475399890914559e-01
2.419999999999999929e-01	2.691399949544575065e-01
2.429999999999999938e-01	1.909658965887501836e-01
2.439999999999999947e-01	1.070011242700275034e-01
2.449999999999999956e-01	2.462990032508969307e-01
2.459999999999999964e-01	3.222211728570982814e-01
2.469999999999999973e-01	2.713919237139634788e-01
2.479999999999999982e-01	1.938612335652578622e-01
2.489999999999999991e-01	1.095747571380343288e-01
2.500000000000000000e-01	2.488726361189037561e-01
2.510000000000000009e-01	3.238296933996025473e-01
2.520000000000000018e-01	2.730004442564677447e-01
2.530000000000000027e-01	1.945046417822595686e-01
2.540000000000000036e-01	1.079662365955300629e-01
2.550000000000000044e-01	2.479075237934011966e-01
2.560000000000000053e-01	3.209343564230948687e-01
2.570000000000000062e-01	2.691399949544575065e-01
2.580000000000000071e-01	1.912876006972510368e-01
2.590000000000000080e-01	1.095747571380343288e-01
2.600000000000000089e-01	2.472641155763994902e-01
2.610000000000000098e-01	3.212560605315957218e-01
2.620000000000000107e-01	2.704268113884609193e-01
